Sample_ID,Date,Year,Fieldwork_ID,Group,Gorilla_ID,Sex,Age_Class,Place,AM_PM,Mean_temp,Tourist_number_2d,Tourist_visit_2d,FGCMs_ng_g_wet
57,2017/8/9,2017,Fieldwork_01,R,Kabukojo,M,SB,Nest,AM,19.00462963,9,1,329.6410652
58,2017/8/9,2017,Fieldwork_01,R,Kanywani,M,BB,Trail,AM,19.00462963,9,1,591.1153995
59,2017/8/9,2017,Fieldwork_01,R,Kanyindo,F,AdF,Trail,AM,19.00462963,9,1,770.150521
65,2017/8/12,2017,Fieldwork_01,M,Malaika,F,AdF,Trail,AM,18.81944444,10,1,387.1478194
66,2017/8/12,2017,Fieldwork_01,M,Kanyonyi,M,SB,Trail,AM,18.81944444,10,1,498.6105751
67,2017/8/12,2017,Fieldwork_01,M,Kisho,F,AdF,Trail,PM,18.81944444,10,1,471.547665
68,2017/8/12,2017,Fieldwork_01,M,Kanyonyi,M,SB,Trail,PM,18.81944444,10,1,411.277499
69,2017/8/12,2017,Fieldwork_01,M,Mitunu,F,AdF,Trail,PM,18.81944444,10,1,486.206098
74,2017/8/13,2017,Fieldwork_01,M,Kanyonyi,M,SB,Nest,AM,18.12037037,8,1,326.324018
75,2017/8/13,2017,Fieldwork_01,M,Kanyonyi,M,SB,Trail,AM,18.12037037,8,1,357.6783271
76,2017/8/13,2017,Fieldwork_01,M,Mitunu,F,AdF,Trail,AM,18.12037037,8,1,340.0039085
77,2017/8/13,2017,Fieldwork_01,M,Kikombe,F,AdF,Trail,PM,18.12037037,8,1,412.1711941
78,2017/8/17,2017,Fieldwork_01,R,Kabukojo,M,SB,Nest,AM,19.21296296,8,1,592.0812976
79,2017/8/17,2017,Fieldwork_01,R,Kanywani,M,BB,Trail,AM,19.21296296,8,1,600
80,2017/8/17,2017,Fieldwork_01,R,Kibande,F,AdF,Trail,AM,19.21296296,8,1,1022.255228
81,2017/8/17,2017,Fieldwork_01,R,Kanywani,M,BB,Trail,AM,19.21296296,8,1,808.1219465
82,2017/8/18,2017,Fieldwork_01,H,Makara,M,SB,Trail,PM,18.79166667,6,1,565.5110416
83,2017/8/19,2017,Fieldwork_01,M,Kanyonyi,M,SB,Trail,AM,19.40972222,9,1,358.3349619
84,2017/8/19,2017,Fieldwork_01,M,Kanyonyi,M,SB,Nest,AM,19.40972222,9,1,439.3120969
85,2017/8/19,2017,Fieldwork_01,M,Kanyonyi,M,SB,Trail,AM,19.40972222,9,1,525.9957006
86,2017/8/19,2017,Fieldwork_01,M,Malaika,F,AdF,Trail,AM,19.40972222,9,1,442.7672464
87,2017/8/19,2017,Fieldwork_01,M,Malaika,F,AdF,Trail,PM,19.40972222,9,1,234.0355677
88,2017/8/24,2017,Fieldwork_01,R,Kabukojo,M,SB,Trail,PM,19.0787037,8,1,672.4643346
89,2017/8/24,2017,Fieldwork_01,R,Buzinza,F,AdF,Trail,PM,19.0787037,8,1,613.5470002
90,2017/8/25,2017,Fieldwork_01,H,Nyabukye's baby,M,Inf,Trail,AM,19.66203704,7,1,299.4332617
91,2017/8/25,2017,Fieldwork_01,H,Kabuyo,M,BB,Trail,AM,19.66203704,7,1,297.8776627
92,2017/8/26,2017,Fieldwork_01,M,Kanyonyi,M,SB,Nest,AM,19.5,8,1,412.1711941
93,2017/8/26,2017,Fieldwork_01,M,Kanyonyi,M,SB,Trail,AM,19.5,8,1,470.8461989
94,2017/8/26,2017,Fieldwork_01,M,Kanyonyi,M,SB,Trail,AM,19.5,8,1,478.4913035
95,2017/8/26,2017,Fieldwork_01,M,Kikombe,F,AdF,Trail,AM,19.5,8,1,303.0994723
96,2017/8/26,2017,Fieldwork_01,M,Kikombe,F,AdF,Trail,PM,19.5,8,1,370.3654485
97,2017/8/26,2017,Fieldwork_01,M,Kanyonyi,M,SB,Trail,PM,19.5,8,1,317.7799492
98,2017/8/31,2017,Fieldwork_01,R,Munyana,F,AdF,Trail,AM,19.60648148,8,1,643.4864178
99,2017/8/31,2017,Fieldwork_01,R,Kabunga,M,SAd,Trail,AM,19.60648148,8,1,346.8125855
100,2017/8/31,2017,Fieldwork_01,R,Kanyindo,F,AdF,Trail,AM,19.60648148,8,1,332.7809263
101,2017/8/31,2017,Fieldwork_01,R,Kabukojo,M,SB,Trail,AM,19.60648148,8,1,283.3691616
102,2017/8/31,2017,Fieldwork_01,R,Kabukojo,M,SB,Trail,AM,19.60648148,8,1,682.0168067
103,2017/8/31,2017,Fieldwork_01,R,Kanywani,M,BB,Trail,AM,19.60648148,8,1,245.5344929
104,2017/8/31,2017,Fieldwork_01,R,Ruterana,F,AdF,Trail,PM,19.60648148,8,1,474.6453
105,2017/8/31,2017,Fieldwork_01,R,Nderema,F,SAd,Trail,PM,19.60648148,8,1,462.4428376
106,2017/9/2,2017,Fieldwork_01,M,Nyampazi,F,AdF,Trail,AM,18.81481481,8,1,480.0982456
107,2017/9/2,2017,Fieldwork_01,M,Kanyonyi,M,SB,Trail,PM,18.81481481,8,1,611.9157895
108,2017/9/2,2017,Fieldwork_01,M,Kanyonyi,M,SB,Trail,PM,18.81481481,8,1,595.6
109,2017/9/7,2017,Fieldwork_01,R,Munyana,F,AdF,Trail,PM,18.78472222,10,1,1110.014035
110,2017/9/8,2017,Fieldwork_01,M,Nyampazi,F,AdF,Trail,AM,18.5625,6,1,261.5508772
111,2017/9/8,2017,Fieldwork_01,M,Kanyonyi,M,SB,Trail,PM,18.5625,6,1,1260.315789
112,2017/9/10,2017,Fieldwork_01,R,Kabunga,M,SAd,Trail,AM,18.97916667,7,1,326.5333333
113,2017/9/10,2017,Fieldwork_01,R,Karembezi,M,BB,Trail,AM,18.97916667,7,1,564.8421053
114,2017/9/10,2017,Fieldwork_01,R,Kabukojo,M,SB,Trail,AM,18.97916667,7,1,514.6385965
115,2017/9/10,2017,Fieldwork_01,R,Kabukojo,M,SB,Trail,AM,18.97916667,7,1,572.9964912
116,2017/9/10,2017,Fieldwork_01,R,Munyana,F,AdF,Trail,AM,18.97916667,7,1,364.9894737
117,2017/9/10,2017,Fieldwork_01,R,Kibande,F,AdF,Trail,AM,18.97916667,7,1,599.9859649
118,2017/9/14,2017,Fieldwork_01,R,Kabukojo,M,SB,Nest,AM,18.94675926,8,1,256.6175439
119,2017/9/14,2017,Fieldwork_01,R,Nderema,F,SAd,Trail,AM,18.94675926,8,1,551.6350877
120,2017/9/14,2017,Fieldwork_01,R,Kanyindo,F,AdF,Trail,AM,18.94675926,8,1,672.0140351
121,2017/9/14,2017,Fieldwork_01,R,Kabunga,M,SAd,Trail,AM,18.94675926,8,1,324.0912281
122,2017/9/14,2017,Fieldwork_01,R,Kabukojo,M,SB,Trail,AM,18.94675926,8,1,362.8491228
123,2017/9/14,2017,Fieldwork_01,R,Buzinza,F,AdF,Trail,AM,18.94675926,8,1,417.7964912
124,2017/9/14,2017,Fieldwork_01,R,Kamara,M,SAd,Trail,PM,18.94675926,8,1,389.7403509
125,2017/9/15,2017,Fieldwork_01,M,Nyampazi,F,AdF,Trail,AM,19.51388889,8,1,433.8315789
126,2017/9/15,2017,Fieldwork_01,M,Masanyu,M,Inf,Trail,AM,19.51388889,8,1,299.3614035
127,2017/9/15,2017,Fieldwork_01,M,Karungi,F,AdF,Trail,AM,19.51388889,8,1,781.445614
128,2017/9/15,2017,Fieldwork_01,M,Kanyonyi,M,SB,Nest,AM,19.51388889,8,1,540.1403509
129,2017/9/15,2017,Fieldwork_01,M,Kanyonyi,M,SB,Trail,AM,19.51388889,8,1,575.7473684
130,2017/9/15,2017,Fieldwork_01,M,Kikombe,F,AdF,Trail,AM,19.51388889,8,1,299.9087719
131,2017/9/15,2017,Fieldwork_01,M,Malaika,F,AdF,Trail,PM,19.51388889,8,1,290.8140351
132,2017/9/16,2017,Fieldwork_01,R,Ruterana,F,AdF,Trail,AM,18.79166667,8,1,350.3719298
133,2017/9/16,2017,Fieldwork_01,R,Kabukojo,M,SB,Trail,AM,18.79166667,8,1,364.9894737
134,2017/9/16,2017,Fieldwork_01,R,Karembezi,M,BB,Trail,AM,18.79166667,8,1,439.3684211
135,2017/9/16,2017,Fieldwork_01,R,Buzinza,F,AdF,Trail,AM,18.79166667,8,1,219.7824561
136,2017/9/16,2017,Fieldwork_01,R,Kabunga,M,SAd,Trail,AM,18.79166667,8,1,458.5894737
137,2017/9/16,2017,Fieldwork_01,R,Kamara,M,SAd,Trail,AM,18.79166667,8,1,550.3438596
138,2017/9/18,2017,Fieldwork_01,M,Nyampazi,F,AdF,Trail,AM,18.20833333,9,1,284.6245614
139,2017/9/18,2017,Fieldwork_01,M,Kanyonyi,M,SB,Trail,AM,18.20833333,9,1,378.9614035
140,2017/9/18,2017,Fieldwork_01,M,Karungi,F,AdF,Trail,PM,18.20833333,9,1,346.3438596
141,2017/9/18,2017,Fieldwork_01,M,Kikombe,F,AdF,Trail,PM,18.20833333,9,1,157.4374374
142,2017/9/18,2017,Fieldwork_01,M,Kisho,F,AdF,Trail,PM,18.20833333,9,1,219.995996
143,2017/9/18,2017,Fieldwork_01,M,Malaika,F,AdF,Trail,PM,18.20833333,9,1,352.3603604
144,2017/9/19,2017,Fieldwork_01,R,Kabukojo,M,SB,Nest,AM,19.46296296,8,1,503.6236236
145,2017/9/19,2017,Fieldwork_01,R,Kanyindo,F,AdF,Trail,AM,19.46296296,8,1,523.995996
146,2017/9/19,2017,Fieldwork_01,R,Kibande,F,AdF,Trail,AM,19.46296296,8,1,628.3643644
147,2017/9/19,2017,Fieldwork_01,R,Kabukojo,M,SB,Trail,AM,19.46296296,8,1,447.5995996
148,2017/9/22,2017,Fieldwork_01,R,Kibande,F,AdF,Trail,AM,16.71759259,9,1,357.0850851
149,2017/9/22,2017,Fieldwork_01,R,Karembezi,M,BB,Trail,AM,16.71759259,9,1,492.9249249
150,2017/9/22,2017,Fieldwork_01,R,Kabunga,M,SAd,Trail,AM,16.71759259,9,1,403.2192192
151,2017/9/22,2017,Fieldwork_01,R,Munyana,F,AdF,Trail,PM,16.71759259,9,1,546.8108108
152,2017/9/22,2017,Fieldwork_01,R,Kanyindo,F,AdF,Trail,PM,16.71759259,9,1,417.7617618
153,2017/9/22,2017,Fieldwork_01,R,Kamara,M,SAd,Trail,PM,16.71759259,9,1,519.8238238
154,2017/9/22,2017,Fieldwork_01,R,Ruterana,F,AdF,Trail,PM,16.71759259,9,1,363.7237237
155,2017/9/23,2017,Fieldwork_01,M,Twesiime,F,AdF,Trail,AM,18.34953704,8,1,322.6186186
156,2017/9/23,2017,Fieldwork_01,M,Malaika,F,AdF,Trail,AM,18.34953704,8,1,282.7147147
157,2017/9/23,2017,Fieldwork_01,M,Kanyonyi,M,SB,Nest,AM,18.34953704,8,1,333.7657658
158,2017/9/23,2017,Fieldwork_01,M,Mitunu,F,AdF,Trail,AM,18.34953704,8,1,435.4514515
159,2017/9/23,2017,Fieldwork_01,M,Kisho,F,AdF,Trail,AM,18.34953704,8,1,297.5695696
160,2017/9/24,2017,Fieldwork_01,R,Kibande,F,AdF,Trail,AM,19.18055556,9,1,343.7357357
161,2017/9/24,2017,Fieldwork_01,R,Kamara,M,SAd,Trail,AM,19.18055556,9,1,208.5125125
162,2017/9/24,2017,Fieldwork_01,R,Kabukojo,M,SB,Trail,AM,19.18055556,9,1,259.6116116
163,2017/9/24,2017,Fieldwork_01,R,Kanyindo,F,AdF,Trail,PM,19.18055556,9,1,362.5065065
164,2017/9/24,2017,Fieldwork_01,R,Ruterana,F,AdF,Trail,PM,19.18055556,9,1,327.8638639
165,2017/9/27,2017,Fieldwork_01,M,Kikombe,F,AdF,Trail,AM,19.45601852,5,1,233.5935936
166,2017/9/27,2017,Fieldwork_01,M,Twesiime,F,AdF,Trail,AM,19.45601852,5,1,287.5595596
167,2017/9/27,2017,Fieldwork_01,M,Nyampazi,F,AdF,Trail,AM,19.45601852,5,1,234.2822823
168,2017/9/27,2017,Fieldwork_01,M,Kanyonyi,M,SB,Trail,AM,19.45601852,5,1,177.1211211
169,2017/9/27,2017,Fieldwork_01,M,Kisho,F,AdF,Trail,PM,19.45601852,5,1,197.1331331
170,2017/9/27,2017,Fieldwork_01,M,Masanyu,M,Inf,Trail,PM,19.45601852,5,1,245.2692693
171,2017/9/28,2017,Fieldwork_01,R,Kabukojo,M,SB,Nest,AM,19.99537037,8,1,384.7207207
172,2017/9/28,2017,Fieldwork_01,R,Ruterana,F,AdF,Trail,AM,19.99537037,8,1,252.3163163
173,2017/9/28,2017,Fieldwork_01,R,Kibande,F,AdF,Trail,AM,19.99537037,8,1,170.9469469
174,2017/9/28,2017,Fieldwork_01,R,Kabukojo,M,SB,Trail,PM,19.99537037,8,1,299.9079079
175,2017/9/28,2017,Fieldwork_01,R,Kabunga,M,SAd,Trail,PM,19.99537037,8,1,439.4474474
176,2017/9/29,2017,Fieldwork_01,R,Kabukojo,M,SB,Nest,AM,18.22685185,7,1,324.8116275
177,2017/9/29,2017,Fieldwork_01,R,Nderema,F,SAd,Trail,AM,18.22685185,7,1,309.7800727
178,2017/9/29,2017,Fieldwork_01,R,Karembezi,M,BB,Trail,AM,18.22685185,7,1,356.6800535
