Plate_number,Plate_ID,1st,EIA_Date,Year,Fieldwork_ID,Month,Replicate_01,Replicate_02,Mean,Conc,SD,%CV,Mean_CS
1,1,1,16/01/2019,2017,1,Jun-Oct,0.597,0.623,0.61,6.438,0.57,3.014,6.438
2,2,1,16/01/2019,2017,1,Jun-Oct,0.623,0.621,0.622,5.182,0.031,0.227,5.182
3,3,1,16/01/2019,2017,1,Jun-Oct,0.613,0.595,0.604,5.117,0.29,2.107,5.117
4,4,1,16/01/2019,2017,1,Jun-Oct,0.546,0.573,0.559,5.7,0.534,3.412,5.7
5,5,1,18/01/2019,2017,1,Jun-Oct,0.606,0.586,0.596,4.995,0.322,2.491,4.995
6,6,1,18/01/2019,2017,1,Jun-Oct,0.586,0.596,0.591,5.229,0.143,1.077,5.229
7,7,1,18/01/2019,2017,1,Jun-Oct,0.578,0.55,0.564,5.754,0.552,3.636,5.754
1,8,1,19/01/2019,2018,2,May-Jun,0.46,0.42,0.44,5.676,0.899,6.268,5.676
2,9,1,19/01/2019,2018,2,May-Jun,0.484,0.465,0.475,6.758,0.627,2.831,6.758
3,10,1,19/01/2019,2018,2,May-Jun,0.456,0.468,0.462,6.942,0.408,1.835,6.942
4,11,1,19/01/2019,2018,2,May-Jun,0.483,0.524,0.504,4.692,0.821,5.758,4.692
5,12,1,22/01/2019,2018,2,May-Jun,0.568,0.566,0.567,3.905,0.026,0.249,3.905
6,13,1,22/01/2019,2018,2,May-Jun,0.534,0.512,0.522,5.171,0.472,2.977,5.171
7,14,1,22/01/2019,2018,2,May-Jun,0.588,0.534,0.561,6.202,1.352,6.932,6.202
8,15,1,22/01/2019,2018,2,May-Jun,0.542,0.558,0.55,4.535,0.259,1.928,4.535
1,16,1,19/02/2019,2018,3,Sep-Oct,0.415,0.503,0.458,5.91,2.635,13.572,5.91
2,17,1,19/02/2019,2018,3,Sep-Oct,0.424,0.45,0.436,5.627,0.73,4.212,5.627
3,18,1,19/02/2019,2018,3,Sep-Oct,0.334,0.345,0.34,6.999,0.495,2.291,6.999
4,19,1,19/02/2019,2018,3,Sep-Oct,0.392,0.368,0.38,7.215,0.953,4.46,7.215
5,20,1,20/02/2019,2018,3,Sep-Oct,0.462,0.485,0.474,6.1,0.641,3.285,6.1
6,21,1,20/02/2019,2018,3,Sep-Oct,0.464,0.469,0.466,8.161,0.188,0.758,8.161
7,22,1,20/02/2019,2018,3,Sep-Oct,0.432,0.426,0.429,7.29,0.275,1.154,7.29
8,23,1,20/02/2019,2018,3,Sep-Oct,0.444,0.446,0.445,6.259,0.062,0.318,6.259
9,24,1,05/03/2019,2018,3,Sep-Oct,0.586,0.588,0.587,5.51,0.034,0.241,5.51
10,25,1,05/03/2019,2018,3,Sep-Oct,0.511,0.522,0.516,4.64,0.238,1.643,4.64
11,26,1,05/03/2019,2018,3,Sep-Oct,0.42,0.428,0.424,4.797,0.171,1.334,4.797
12,27,1,05/03/2019,2018,3,Sep-Oct,0.357,0.38,0.368,4.053,0.489,4.413,4.053
13,28,1,07/03/2019,2018,3,Sep-Oct,0.485,0.517,0.501,4.569,0.614,4.516,4.569
14,29,1,07/03/2019,2018,3,Sep-Oct,0.548,0.555,0.551,4.281,0.109,0.898,4.281
15,30,0,07/03/2019,2018,3,Sep-Oct,0.578,0.598,0.588,3.744,0.264,2.403,3.744
