Sample_ID,Sample_No_EIA,1st_%CV
1,1,3.637
2,2,13.88
3,3,6.494
4,4,12.712
5,5,8.364
6,6,7.983
7,7,1.607
8,8,5.512
9,9,6.189
10,10,5.224
11,11,7.738
12,12,16.996
13,13,10.837
14,14,1.188
15,15,0.115
16,16,0.43
17,17,4.903
18,18,5.238
19,19,4.695
20,20,1.681
21,21,9.703
22,22,8.559
23,23,2.813
24,24,3.338
25,25,7.282
26,26,14.34
27,27,1.969
28,28,0.22
29,29,3.975
30,30,14.11
31,31,0.79
32,32,0.099
33,33,8.658
34,34,7.967
35,35,0.983
36,36,9.895
37,37,5.92
38,38,1.64
39,39,17.556
40,40,1.697
41,41,11.267
42,42,7.005
43,43,12.791
44,44,4.29
45,45,1.122
46,46,5.28
47,47,16.17
48,48,15.097
49,49,1.182
50,50,0.763
51,51,2.562
52,52,6.857
53,53,4.714
54,54,2.853
55,55,4.145
56,56,4.72
57,57,4.335
58,58,5.313
59,59,2.494
60,60,10.19
61,61,3.104
62,62,0.91
63,63,1.269
64,64,8.672
65,65,4.804
66,66,4.979
67,67,3.525
68,68,6.097
69,69,3.777
70,70,0.358
71,71,10.586
72,72,1.211
73,73,0.587
74,74,15.279
75,75,13.785
76,76,16.744
77,77,2.745
78,78,20.27
79,79,12.175
80,80,2.695
81,81,5.093
82,84,6.298
83,85,4.245
84,86,2.708
85,87,3.901
86,88,4.178
87,89,16.264
88,90,0.489
89,91,0.472
90,92,5.505
91,93,6.305
92,94,3.762
93,95,2.459
94,96,2.043
95,97,0
96,98,5.079
97,99,0.646
98,100,2.523
99,101,6.29
100,102,6.475
101,103,3.449
102,104,1.228
103,105,6.214
104,106,2.466
105,107,2.123
106,108,12.222
107,109,1.909
108,110,2.521
109,111,3.442
110,112,11.477
111,113,4.562
112,114,1.711
113,115,3.461
114,116,3.822
115,117,4.474
116,118,5.354
117,119,0.885
118,120,19.022
119,121,6.373
120,122,5.004
121,123,2.509
122,124,4.609
123,125,1.989
124,126,2.583
125,127,2.914
126,128,20.648
127,129,0
128,130,4.499
129,131,2.49
130,132,8.674
131,133,7.9
132,134,7.857
133,135,0.315
134,136,0.676
135,137,17.602
136,138,4.577
137,139,3.061
138,140,5.733
139,141,8.306
140,142,4.529
141,143,0.21
142,144,25.475
143,145,12.743
144,146,0.664
145,147,1.575
146,148,9.903
147,149,4.647
148,150,18.786
149,151,20.093
150,152,2.227
151,153,2.174
152,154,6.778
153,155,8.523
154,156,2.718
155,157,3.975
156,158,1.665
157,159,3.749
158,160,1.776
159,161,2.505
160,162,4.932
161,163,4.509
162,164,24.304
163,165,4.847
164,166,2.884
165,167,12.509
166,168,3.705
167,169,5.855
168,170,4.243
169,171,17.278
170,172,5.216
171,173,2.086
172,174,8.206
173,175,12.206
174,176,11.037
175,177,3.355
176,178,6.809
177,179,18.286
178,180,7.58
179,181,1.142
180,182,3.56
181,183,9.255
182,184,1.838
183,185,21.318
184,186,13.752
185,187,8.609
186,188,6.071
187,189,5.718
188,190,17.931
189,191,2.855
190,192,4.508
