No_filter,Filter
228.9610829,228.474
346.321489,445.421
256.2571912,318.437
186.4906937,245.787
202.9509306,198.058
259.6886633,230.917
155.9729272,146.545
142.2267343,189.489
174.7478849,309.374
293.6920474,317.665
131.5736041,204.609
188.7309645,298.558
344.5820643,375.973
374.0169205,303.533
182.8291032,208.853
316.1353638,263.302
313.1032149,528.722
275.9526227,807.059
272.692376,193.794
146.6216456,175.404
122.253421,154.505
206.3053137,183.885
195.0808601,204.912
255.6104496,215.433
156.0831704,192.088
161.2937622,146.33
138.7311178,225.662
128.6582548,151.1
110.6664297,179.577
187.1050293,157.37
147.50311,244.059
278.2655056,399.055
332.8238848,342.093
188.7471121,262.648
